"","GEOID","NAME","hhincomeE","hhincomeM","medageE","medageM","poppovertyE","poppovertyM","totalpopE","totalpopM","popwhiteE","popwhiteM","popblackE","popblackM","popaknaE","popaknaM","popasianE","popasianM","pophipiE","pophipiM","popotherE","popotherM","pop2ormoreE","pop2ormoreM"
"1","06001","Alameda County, California",79831,739,37.2,0.1,46354,1912,1605217,NA,703973,3959,182092,1491,10176,939,452582,1592,13811,318,140543,3974,102040,3022
"2","06003","Alpine County, California",62375,5989,42.8,5.8,20,14,1184,191,857,173,10,15,224,62,9,13,0,12,0,12,84,45
"3","06005","Amador County, California",57032,3247,50.3,0.2,915,257,36963,NA,32039,295,898,120,502,132,547,96,76,48,1553,352,1348,281
"4","06007","Butte County, California",44366,1131,36.9,0.2,9423,914,223877,NA,186105,981,3366,314,2445,372,9651,443,457,173,8164,933,13689,904
"5","06009","Calaveras County, California",53502,3912,51.2,0.4,1180,371,44787,NA,41304,229,258,119,453,231,448,99,155,179,394,158,1775,311
"6","06011","Colusa County, California",54946,3336,34.7,0.3,1128,277,21361,NA,18721,440,222,72,211,77,346,37,20,18,1223,397,618,220
"7","06013","Contra Costa County, California",82881,984,39.1,0.1,31400,1690,1107925,NA,661857,3637,97032,1612,5447,817,171853,1733,5511,347,95126,3555,71099,2933
"8","06015","Del Norte County, California",42363,3792,38.1,0.6,1518,315,27628,NA,21485,301,642,141,1834,321,672,147,31,30,668,219,2296,370
"9","06017","El Dorado County, California",72586,1756,45.2,0.1,3972,668,183000,NA,159165,866,1784,253,1494,344,7596,362,343,148,6204,871,6414,682
"10","06019","Fresno County, California",45963,661,31.6,0.1,101226,3379,963160,NA,593119,5140,48434,964,10034,1088,95558,1303,1868,418,176490,4735,37657,2388
"11","06021","Glenn County, California",41699,3688,36.9,0.5,1878,441,27976,NA,23493,663,195,74,516,112,685,134,129,127,2318,674,640,194
"12","06023","Humboldt County, California",42685,1286,37.6,0.2,5169,708,135182,NA,109778,687,1603,228,6834,516,3739,253,331,151,4729,636,8168,664
"13","06025","Imperial County, California",42560,1587,32.2,0.2,15096,1292,178807,NA,124349,2663,4856,368,1914,436,2558,253,254,129,36347,2642,8529,1158
"14","06027","Inyo County, California",47278,3449,45.4,0.5,424,124,18326,NA,15003,205,180,27,2092,83,223,52,34,4,372,155,422,108
"15","06029","Kern County, California",49788,909,31.2,0.1,77800,3105,871337,NA,647832,4667,48264,977,10051,1373,40088,839,1623,495,94294,4146,29185,1787
"16","06031","Kings County, California",47241,1395,31.4,0.2,11406,1053,150261,NA,100728,1801,9596,407,2054,296,5700,407,381,69,25612,1784,6190,814
"17","06033","Lake County, California",36132,2745,45.8,0.3,3940,569,64076,NA,50491,804,1395,169,2246,300,872,141,69,71,7100,839,1903,399
"18","06035","Lassen County, California",51457,2483,36.4,0.6,1196,249,31945,NA,25461,304,2845,55,904,116,535,92,256,30,1189,269,755,117
"19","06037","Los Angeles County, California",57952,331,35.8,0.1,544437,7538,10057155,NA,5283457,16336,831313,3789,62671,3232,1431361,3410,26810,807,2030157,19436,391386,7200
"20","06039","Madera County, California",45742,1704,33.5,0.3,12993,1228,153366,NA,121146,1871,5102,352,2415,392,3055,279,179,92,15929,1933,5540,863
"21","06041","Marin County, California",100310,1876,45.7,0.1,4852,785,259358,NA,204928,1573,6075,472,797,263,14693,454,571,212,20533,1671,11761,841
