,Unnamed: 0,GEOID,NAME,hhincomeE,hhincomeM,medageE,medageM,poppovertyE,poppovertyM,totalpopE,totalpopM,popwhiteE,popwhiteM,popblackE,popblackM,popaknaE,popaknaM,popasianE,popasianM,pophipiE,pophipiM,popotherE,popotherM,pop2ormoreE,pop2ormoreM,pctwhite,pctblack,pctakna,pctasian,pcthipi,pctother,pct2ormore,pctpoverty
0,1,6001,"Alameda County, California",79831,739,37.2,0.1,46354,1912,1605217,,703973,3959,182092,1491,10176,939,452582,1592,13811,318,140543,3974,102040,3022,0.4385531675779661,0.1134376224522915,0.006339329822696869,0.2819444349268666,0.008603821165611876,0.087553894582477,0.06356772947209006,0.028877092629843816
1,2,6003,"Alpine County, California",62375,5989,42.8,5.8,20,14,1184,191.0,857,173,10,15,224,62,9,13,0,12,0,12,84,45,0.7238175675675675,0.008445945945945946,0.1891891891891892,0.007601351351351352,0.0,0.0,0.07094594594594594,0.016891891891891893
2,3,6005,"Amador County, California",57032,3247,50.3,0.2,915,257,36963,,32039,295,898,120,502,132,547,96,76,48,1553,352,1348,281,0.8667857046235424,0.024294564835105375,0.013581148716283851,0.014798582366149934,0.0020561101642182725,0.042014987960933906,0.0364689013337662,0.024754484213943672
3,4,6007,"Butte County, California",44366,1131,36.9,0.2,9423,914,223877,,186105,981,3366,314,2445,372,9651,443,457,173,8164,933,13689,904,0.8312823559365187,0.015035041563001112,0.010921175466885834,0.043108492609781265,0.0020412994635447142,0.03646645256100448,0.06114518239926388,0.042090076247225036
4,5,6009,"Calaveras County, California",53502,3912,51.2,0.4,1180,371,44787,,41304,229,258,119,453,231,448,99,155,179,394,158,1775,311,0.9222318976488714,0.00576060017415768,0.0101145421662536,0.01000290262799473,0.003460825686024963,0.008797195614798936,0.03963203608189877,0.026346931029093263
5,6,6011,"Colusa County, California",54946,3336,34.7,0.3,1128,277,21361,,18721,440,222,72,211,77,346,37,20,18,1223,397,618,220,0.8764102804175834,0.010392771873975937,0.009877814709049202,0.016197743551331866,0.0009362857544122466,0.05725387388230888,0.02893122981133842,0.05280651654885071
6,7,6013,"Contra Costa County, California",82881,984,39.1,0.1,31400,1690,1107925,,661857,3637,97032,1612,5447,817,171853,1733,5511,347,95126,3555,71099,2933,0.5973842994787554,0.08757993546494573,0.004916397770607216,0.1551124850508834,0.004974163413588465,0.08585960240991042,0.06417311641130943,0.028341268587675158
7,8,6015,"Del Norte County, California",42363,3792,38.1,0.6,1518,315,27628,,21485,301,642,141,1834,321,672,147,31,30,668,219,2296,370,0.7776531055450991,0.023237295497321557,0.06638193137396844,0.024323150427102938,0.0011220500941074272,0.024178369769798754,0.08310409729260171,0.05494425944693789
8,9,6017,"El Dorado County, California",72586,1756,45.2,0.1,3972,668,183000,,159165,866,1784,253,1494,344,7596,362,343,148,6204,871,6414,682,0.8697540983606558,0.009748633879781421,0.008163934426229508,0.04150819672131147,0.0018743169398907104,0.033901639344262297,0.03504918032786885,0.021704918032786884
9,10,6019,"Fresno County, California",45963,661,31.6,0.1,101226,3379,963160,,593119,5140,48434,964,10034,1088,95558,1303,1868,418,176490,4735,37657,2388,0.6158052659994185,0.05028655675069563,0.01041779143652145,0.09921300718468375,0.0019394493126790979,0.18324058308069271,0.03909734623530878,0.10509780306491133
10,11,6021,"Glenn County, California",41699,3688,36.9,0.5,1878,441,27976,,23493,663,195,74,516,112,685,134,129,127,2318,674,640,194,0.83975550471833,0.006970260223048327,0.018444380897912498,0.024485273091221046,0.004611095224478124,0.08285673434372319,0.02287675150128682,0.0671289676865885
11,12,6023,"Humboldt County, California",42685,1286,37.6,0.2,5169,708,135182,,109778,687,1603,228,6834,516,3739,253,331,151,4729,636,8168,664,0.812075572191564,0.011858087615215044,0.05055406784926987,0.027659007856075512,0.0024485508425677975,0.03498246808006983,0.060422245565237974,0.038237339290733974
12,13,6025,"Imperial County, California",42560,1587,32.2,0.2,15096,1292,178807,,124349,2663,4856,368,1914,436,2558,253,254,129,36347,2642,8529,1158,0.6954369795365953,0.027157773465244648,0.010704278915254996,0.014305927620283323,0.0014205260420453339,0.20327503956780216,0.04769947485277422,0.08442622492408015
13,14,6027,"Inyo County, California",47278,3449,45.4,0.5,424,124,18326,,15003,205,180,27,2092,83,223,52,34,4,372,155,422,108,0.8186729237149405,0.009822110662446797,0.11415475281021499,0.01216850376514242,0.0018552875695732839,0.020299028702390046,0.023027392775291936,0.02313652733820801
14,15,6029,"Kern County, California",49788,909,31.2,0.1,77800,3105,871337,,647832,4667,48264,977,10051,1373,40088,839,1623,495,94294,4146,29185,1787,0.7434918980830608,0.05539073860056442,0.011535146562122348,0.04600745750496077,0.0018626547478185823,0.1082176012266207,0.03349450327485232,0.08928807109074904
15,16,6031,"Kings County, California",47241,1395,31.4,0.2,11406,1053,150261,,100728,1801,9596,407,2054,296,5700,407,381,69,25612,1784,6190,814,0.6703535847625133,0.06386221308256966,0.013669548319257825,0.0379339948489628,0.0025355880767464613,0.17045008352133953,0.041194987388610486,0.07590792021881926
16,17,6033,"Lake County, California",36132,2745,45.8,0.3,3940,569,64076,,50491,804,1395,169,2246,300,872,141,69,71,7100,839,1903,399,0.7879861414570198,0.02177102191148012,0.03505212560084899,0.013608839503090081,0.001076846245083963,0.11080591797240777,0.029699107310069292,0.06148948124102628
17,18,6035,"Lassen County, California",51457,2483,36.4,0.6,1196,249,31945,,25461,304,2845,55,904,116,535,92,256,30,1189,269,755,117,0.7970261386758491,0.08905932070746596,0.028298638284551574,0.016747534825481296,0.008013773673501331,0.03722022225700423,0.023634371576146503,0.037439348880889026
18,19,6037,"Los Angeles County, California",57952,331,35.8,0.1,544437,7538,10057155,,5283457,16336,831313,3789,62671,3232,1431361,3410,26810,807,2030157,19436,391386,7200,0.5253431015033576,0.08265886326699748,0.0062314839534639765,0.14232265486611273,0.0026657638268476522,0.20186195797917006,0.03891617460405055,0.05413429543444443
19,20,6039,"Madera County, California",45742,1704,33.5,0.3,12993,1228,153366,,121146,1871,5102,352,2415,392,3055,279,179,92,15929,1933,5540,863,0.7899143226008372,0.03326682576320697,0.015746645279918627,0.019919669287847372,0.001167142652217571,0.10386265534733904,0.036122739068633204,0.08471890771096592
20,21,6041,"Marin County, California",100310,1876,45.7,0.1,4852,785,259358,,204928,1573,6075,472,797,263,14693,454,571,212,20533,1671,11761,841,0.7901356426252516,0.02342322195575228,0.0030729724936188587,0.05665142390055444,0.002201590080120914,0.07916856237324471,0.045346586571457216,0.018707732169433756
21,22,6043,"Mariposa County, California",49265,3372,50.6,0.4,469,191,17645,,15542,191,226,138,541,269,224,107,27,41,320,126,765,206,0.8808160952111079,0.01280816095211108,0.03066024369509776,0.012694814395012752,0.0015301785208274299,0.018135449135732503,0.04335505809011051,0.02657976763955795
22,23,6045,"Mendocino County, California",43510,1518,42.3,0.4,4411,727,87409,,72347,1178,564,118,3501,538,1539,163,185,24,4749,998,4524,543,0.8276836481369195,0.006452424807514101,0.04005308377855827,0.01760688258646135,0.00211648686062076,0.05433078973561075,0.05175668409431523,0.050463911038909036
23,24,6047,"Merced County, California",44397,1141,30.6,0.1,26631,1617,265001,,155239,2772,8902,456,1865,380,19843,512,537,222,66865,2820,11750,1140,0.5858053365836355,0.033592326066694086,0.00703770929166305,0.07487896272089539,0.002026407447519066,0.25231980256678277,0.044339455322810105,0.10049396040014943
24,25,6049,"Modoc County, California",41194,3818,47.1,0.6,230,114,9033,,8151,136,82,52,379,90,130,92,8,7,66,56,217,119,0.9023580205911658,0.009077825750027677,0.04195726779585963,0.014391674969556073,0.000885641536588066,0.0073065426768515445,0.02402302667995129,0.025462194176906896
25,26,6051,"Mono County, California",58937,6409,38.9,2.2,340,261,14051,,11917,546,90,58,384,128,167,149,0,19,1064,492,429,178,0.8481246886342609,0.006405238061347946,0.027329015728417907,0.01188527506939008,0.0,0.07572414774749128,0.030531634759091878,0.024197566009536688
